,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.75,0.763888889,0.719444444,0.761111111
1,0.680555556,0.772222222,0.733333333,0.725
2,0.705555556,0.725,0.711111111,0.697222222
3,0.747222222,0.716666667,0.791666667,0.747222222
4,0.802777778,0.725,0.769444444,0.747222222
5,0.711111111,0.7,0.711111111,0.686111111
6,0.761111111,0.725,0.761111111,0.711111111
7,0.727777778,0.680555556,0.716666667,0.775
8,0.755555556,0.752777778,0.725,0.733333333
9,0.727777778,0.75,0.727777778,0.758333333
10,0.719444444,0.752777778,0.738888889,0.708333333
11,0.733333333,0.75,0.744444444,0.747222222
12,0.711111111,0.711111111,0.688888889,0.736111111
13,0.7,0.747222222,0.772222222,0.747222222
14,0.758333333,0.738888889,0.766666667,0.688888889
15,0.733333333,0.711111111,0.741666667,0.733333333
16,0.758333333,0.694444444,0.738888889,0.730555556
17,0.719444444,0.672222222,0.761111111,0.738888889
18,0.680555556,0.697222222,0.758333333,0.761111111
19,0.797222222,0.744444444,0.758333333,0.705555556
20,0.691666667,0.686111111,0.738888889,0.747222222
21,0.777777778,0.697222222,0.733333333,0.758333333
22,0.694444444,0.752777778,0.727777778,0.763888889
23,0.747222222,0.763888889,0.733333333,0.75
24,0.741666667,0.680555556,0.763888889,0.719444444
25,0.741666667,0.761111111,0.719444444,0.736111111
26,0.736111111,0.752777778,0.730555556,0.725
27,0.791666667,0.7,0.761111111,0.788888889
28,0.691666667,0.711111111,0.747222222,0.716666667
29,0.722222222,0.727777778,0.736111111,0.708333333
30,0.775,0.738888889,0.738888889,0.744444444
31,0.736111111,0.736111111,0.766666667,0.738888889
32,0.777777778,0.758333333,0.75,0.747222222
33,0.75,0.691666667,0.758333333,0.708333333
34,0.769444444,0.722222222,0.722222222,0.725
35,0.794444444,0.705555556,0.772222222,0.713888889
36,0.736111111,0.741666667,0.677777778,0.755555556
37,0.697222222,0.733333333,0.7,0.730555556
38,0.741666667,0.736111111,0.697222222,0.694444444
39,0.741666667,0.677777778,0.744444444,0.719444444
40,0.708333333,0.713888889,0.747222222,0.775
41,0.730555556,0.722222222,0.741666667,0.747222222
42,0.683333333,0.716666667,0.713888889,0.747222222
43,0.755555556,0.758333333,0.75,0.722222222
44,0.719444444,0.702777778,0.763888889,0.755555556
45,0.752777778,0.741666667,0.761111111,0.694444444
46,0.75,0.669444444,0.744444444,0.747222222
47,0.741666667,0.747222222,0.763888889,0.722222222
48,0.733333333,0.669444444,0.738888889,0.733333333
49,0.777777778,0.733333333,0.736111111,0.733333333
50,0.697222222,0.769444444,0.722222222,0.713888889
51,0.686111111,0.761111111,0.713888889,0.708333333
52,0.780555556,0.719444444,0.730555556,0.733333333
53,0.688888889,0.741666667,0.697222222,0.705555556
54,0.769444444,0.744444444,0.725,0.780555556
55,0.716666667,0.75,0.802777778,0.752777778
56,0.747222222,0.736111111,0.697222222,0.738888889
57,0.752777778,0.738888889,0.758333333,0.741666667
58,0.705555556,0.711111111,0.761111111,0.694444444
59,0.733333333,0.716666667,0.741666667,0.722222222
60,0.744444444,0.705555556,0.761111111,0.713888889
61,0.758333333,0.725,0.769444444,0.75
62,0.797222222,0.691666667,0.727777778,0.747222222
63,0.708333333,0.730555556,0.747222222,0.725
64,0.725,0.755555556,0.680555556,0.716666667
65,0.719444444,0.730555556,0.719444444,0.741666667
66,0.7,0.727777778,0.758333333,0.711111111
67,0.730555556,0.713888889,0.747222222,0.730555556
68,0.716666667,0.716666667,0.730555556,0.738888889
69,0.705555556,0.752777778,0.7,0.719444444
70,0.752777778,0.738888889,0.736111111,0.711111111
71,0.702777778,0.722222222,0.775,0.761111111
72,0.702777778,0.75,0.738888889,0.711111111
73,0.708333333,0.755555556,0.719444444,0.761111111
74,0.75,0.708333333,0.766666667,0.736111111
75,0.716666667,0.686111111,0.697222222,0.716666667
76,0.719444444,0.727777778,0.744444444,0.733333333
77,0.736111111,0.694444444,0.702777778,0.688888889
78,0.769444444,0.725,0.755555556,0.708333333
79,0.761111111,0.711111111,0.722222222,0.722222222
