,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.866792456,0.860415723,0.843942068,0.877677397
1,0.799607127,0.870803039,0.853317422,0.839777337
2,0.829453578,0.852109352,0.842050547,0.827801081
3,0.86660568,0.835712827,0.885225681,0.867306581
4,0.884436015,0.83310847,0.860358103,0.847713642
5,0.84946704,0.828135815,0.835135546,0.81924739
6,0.869608743,0.831864618,0.858604266,0.833409595
7,0.842091098,0.832842279,0.844861082,0.870126376
8,0.867388494,0.869782774,0.857140981,0.849654426
9,0.855002408,0.861328967,0.858277857,0.867772555
10,0.860126472,0.865498182,0.866565664,0.827331428
11,0.859080161,0.857631044,0.85926029,0.854559384
12,0.827904714,0.833000569,0.835439378,0.851104394
13,0.841249577,0.87059469,0.884337662,0.856057692
14,0.864094121,0.843971909,0.874402787,0.808748827
15,0.85809286,0.839090437,0.853764337,0.858755723
16,0.866505282,0.835543938,0.859261644,0.856269681
17,0.832433766,0.811341905,0.855648008,0.853830516
18,0.814848424,0.831533398,0.860856577,0.864670502
19,0.889880886,0.853449748,0.862941191,0.829831231
20,0.826585658,0.844967542,0.853783356,0.86589487
21,0.872591791,0.827032064,0.859330917,0.874461385
22,0.823968206,0.86739032,0.861163335,0.861903662
23,0.862639177,0.868571612,0.862407915,0.85854995
24,0.869821416,0.823976984,0.868275717,0.855855841
25,0.85872214,0.865667935,0.857050456,0.849742158
26,0.847327079,0.8687037,0.856732191,0.832901775
27,0.876185813,0.830284794,0.867260927,0.885452617
28,0.817469078,0.828862029,0.871461908,0.859433567
29,0.832274224,0.833531129,0.849873453,0.827505471
30,0.876854032,0.859208765,0.862043765,0.856913542
31,0.84491097,0.852370444,0.874453101,0.850298058
32,0.877122453,0.863705459,0.860651103,0.85747714
33,0.851937683,0.825979593,0.864731828,0.837160384
34,0.859210011,0.848354781,0.850157741,0.849825679
35,0.892648823,0.844047764,0.870349116,0.843881623
36,0.854584307,0.85813578,0.825380402,0.861479241
37,0.830759819,0.854143953,0.818346536,0.863383138
38,0.850677688,0.85412636,0.8309224,0.817269736
39,0.849881558,0.815849277,0.861854279,0.837150784
40,0.845596289,0.844151101,0.858994743,0.88452756
41,0.83365467,0.851738251,0.85205833,0.865486181
42,0.836320305,0.848166814,0.834337922,0.864758052
43,0.861548551,0.874186806,0.864154969,0.850609641
44,0.840491651,0.836046065,0.864313331,0.871795429
45,0.858952933,0.859838478,0.870893797,0.839902846
46,0.861526685,0.818940229,0.8710342,0.854744654
47,0.842745262,0.857858274,0.867557924,0.831561828
48,0.847616115,0.821295249,0.858214978,0.842367712
49,0.883174376,0.859451795,0.841256063,0.851988764
50,0.831529201,0.863563328,0.842810365,0.845286767
51,0.829694303,0.860451917,0.859423876,0.834404764
52,0.894488634,0.835495052,0.852159362,0.859344206
53,0.82846669,0.856242396,0.837776678,0.829258522
54,0.887770473,0.864983398,0.844926073,0.867857953
55,0.843800485,0.865857827,0.890396639,0.852017911
56,0.854382065,0.861000524,0.822929375,0.849764322
57,0.860673807,0.843818013,0.8564035,0.864505057
58,0.834195751,0.837346899,0.855756848,0.820232517
59,0.851451335,0.838044685,0.86577665,0.844257287
60,0.867204565,0.830708009,0.86953531,0.841466408
61,0.865756242,0.844126716,0.883539424,0.846835243
62,0.8935009,0.824972142,0.846545762,0.856376952
63,0.856763403,0.86493665,0.868314796,0.851293006
64,0.855572015,0.861577758,0.828633928,0.841530523
65,0.855880218,0.849340809,0.851288282,0.857406075
66,0.832968911,0.846126743,0.87211743,0.855898684
67,0.855582006,0.834568406,0.870548367,0.856593218
68,0.831322814,0.833311382,0.840157967,0.861194079
69,0.847333508,0.865899379,0.84358826,0.84791424
70,0.872435582,0.852899081,0.846517782,0.838796673
71,0.827704075,0.851199638,0.871857287,0.872942683
72,0.829062488,0.859257588,0.861988033,0.832407022
73,0.837640863,0.864042615,0.849625456,0.855012109
74,0.848819158,0.827602386,0.864819843,0.840658278
75,0.847454305,0.833263582,0.84397278,0.837093337
76,0.849960913,0.840467051,0.864172584,0.855485932
77,0.849978717,0.822430613,0.827414325,0.837851207
78,0.872254805,0.832693295,0.864708282,0.829603452
79,0.862600696,0.838808733,0.841521319,0.84585271
