,Multiplication KL Divergence Poisson,Multiplication Euclidean Poisson,Multiplication KL Divergence Normal,Multiplication Euclidean Normal
0,0.158969095,0.159591926,0.157183608,0.156981988
1,0.160015314,0.159904156,0.157735905,0.157918591
2,0.159171628,0.159546053,0.157425443,0.15715743
3,0.159000535,0.159299116,0.157173633,0.157164688
4,0.15888477,0.159177009,0.156652413,0.156545419
5,0.160059516,0.160574569,0.158245622,0.157937665
6,0.159536592,0.159601515,0.157096301,0.156691583
7,0.159044723,0.158650144,0.156951967,0.157309616
8,0.158726355,0.159339427,0.156694769,0.156793677
9,0.160003364,0.159802907,0.15798794,0.157500051
10,0.159213256,0.159029957,0.156985461,0.156781963
11,0.159383912,0.159646017,0.157177896,0.157459131
12,0.159457906,0.159544216,0.157290402,0.157534139
13,0.159830363,0.159891981,0.157848507,0.156683244
14,0.159635064,0.159776044,0.1573198,0.157518138
15,0.158616437,0.158429872,0.156650933,0.156409153
16,0.159391324,0.159028034,0.156919212,0.156895025
17,0.159318893,0.159897763,0.157686692,0.157166218
18,0.159246433,0.159597054,0.157267458,0.157601391
19,0.159598602,0.159616353,0.156839004,0.156721432
20,0.159506976,0.159597006,0.157644628,0.158029536
21,0.159020912,0.159849422,0.156562349,0.15705454
22,0.159172513,0.160003716,0.157678446,0.157778873
23,0.158464992,0.158720563,0.156519836,0.156493772
24,0.159567325,0.159677189,0.157213122,0.157086277
25,0.159723952,0.160382335,0.15743269,0.157805885
26,0.159635809,0.159842209,0.157773377,0.157659278
27,0.158587524,0.158748081,0.156623914,0.156455047
28,0.158872285,0.158697907,0.156793738,0.156788411
29,0.158780685,0.159146144,0.156920858,0.156805704
30,0.159602234,0.159604369,0.156996678,0.157520588
31,0.158830567,0.159674422,0.157308864,0.157259833
32,0.158999,0.159145021,0.156787401,0.156677973
33,0.158365905,0.158591863,0.156468039,0.156639677
34,0.159532033,0.160249199,0.157184229,0.157193283
35,0.159499256,0.160124569,0.157315389,0.157433113
36,0.159803146,0.159877907,0.157396234,0.157827005
37,0.15963236,0.159647176,0.1577819,0.157211274
38,0.158978357,0.159282615,0.156805766,0.157072635
39,0.159067738,0.159252941,0.157086716,0.156931284
40,0.158967306,0.159244519,0.156953443,0.157287394
41,0.158654443,0.159009542,0.157242234,0.156871779
42,0.158875838,0.159296405,0.156983723,0.15698938
43,0.158748323,0.15909229,0.156479119,0.157170691
44,0.15981431,0.159384086,0.157363736,0.156903748
45,0.159238857,0.159934535,0.15748984,0.157014291
46,0.159624994,0.159862647,0.157580333,0.157536368
47,0.159642755,0.159169125,0.157421341,0.157409851
48,0.159190333,0.159467487,0.15731677,0.156965617
49,0.15866022,0.158859341,0.15579264,0.156679784
50,0.159445413,0.159612504,0.157924604,0.15719668
51,0.159131434,0.159274471,0.157042179,0.157106419
52,0.158922417,0.159357461,0.157052868,0.157086335
53,0.158809066,0.158414833,0.156926934,0.156464501
54,0.159679817,0.160013972,0.15770888,0.1572509
55,0.158776371,0.158965692,0.156120675,0.156479822
56,0.158837337,0.158349871,0.15654804,0.156456265
57,0.159445042,0.159579498,0.157207668,0.156757263
58,0.159422116,0.159730872,0.157740089,0.15675408
59,0.158156784,0.158032568,0.155934265,0.155846829
60,0.159077605,0.159545754,0.157074909,0.156926919
61,0.159753035,0.159767661,0.157596861,0.157490165
62,0.159129341,0.159605264,0.157423773,0.15697876
63,0.159221805,0.159253226,0.157148457,0.156835279
64,0.159140652,0.159130959,0.157272057,0.157418416
65,0.159160089,0.159836768,0.157056703,0.157355606
66,0.159067465,0.159320961,0.157224036,0.156902363
67,0.159549104,0.16003357,0.157836129,0.157271406
68,0.159150139,0.158828446,0.15710174,0.15728145
69,0.158315056,0.158981398,0.156576856,0.156835638
70,0.159907191,0.159652377,0.157096898,0.157203496
71,0.159426253,0.159547365,0.157654066,0.157015878
72,0.159585326,0.159207166,0.157607904,0.157505494
73,0.158937463,0.158768384,0.156880368,0.156989534
74,0.160087833,0.160441523,0.158049866,0.157319449
75,0.159187917,0.159067771,0.156975239,0.156869401
76,0.159228634,0.159831681,0.157910531,0.157056247
77,0.159143279,0.159572058,0.157056621,0.157176919
78,0.159773813,0.159240207,0.157299476,0.157156686
79,0.159451931,0.159153555,0.157185987,0.15717431
